;EventTime;Origin;Destination
157;2022.60266;Switzerland;Senegal
158;2022.3741;Cabo Verde;Czech Republic
159;2022.48759;Czech Republic;Sint Maarten
160;2022.37582;Cabo Verde;Serbia
161;2022.73965;Serbia;Belgium
162;2022.5095099999999;Cabo Verde;Japan
163;2022.6876;Cabo Verde;Hong Kong
164;2022.54512;Cabo Verde;Gambia
165;2022.49581;Cabo Verde;USA
166;2022.4602;Cabo Verde;Hungary
167;2022.6054;Cabo Verde;Montenegro
168;2022.5286899999999;Cabo Verde;Ireland
169;2022.4739;Cabo Verde;Bermuda
170;2022.7560799999999;Cabo Verde;Luxembourg
171;2022.53416;Cabo Verde;Hungary
172;2022.7177199999999;Cabo Verde;Guadeloupe
173;2022.48211;Cabo Verde;Sweden
174;2022.49307;Cabo Verde;Kosovo
175;2022.5506;Cabo Verde;Mexico
176;2022.36393;Cabo Verde;Andorra
177;2022.61909;Andorra;Israel
178;2022.51224;Andorra;South Korea
179;2022.70402;Andorra;Costa Rica
180;2022.5177099999999;Andorra;Ukraine
181;2022.5177099999999;Andorra;Moldova
182;2022.72044;Andorra;Ireland
183;2022.6081199999999;Andorra;Jamaica
184;2022.46839;Andorra;Lebanon
185;2022.54236;Andorra;Iceland
186;2022.47387;Andorra;Chile
187;2022.69031;Andorra;Bonaire
188;2022.62456;Andorra;Sweden
189;2022.56233;Andorra;Cabo Verde
190;2022.69853;Cabo Verde;Chile
191;2022.76154;Cabo Verde;Germany
192;2022.62456;Andorra;Ecuador
193;2022.70401;Andorra;Angola
194;2022.44288;Andorra;Finland
195;2022.56702;Finland;Romania
196;2022.5481399999999;Finland;Slovenia
197;2022.58073;Slovenia;Netherlands
198;2022.54785;Finland;Ireland
199;2022.6821;Finland;Costa Rica
200;2022.49579;Finland;Liechtenstein
201;2022.49853;Finland;Portugal
202;2022.53078;Portugal;Spain
203;2022.56429;Spain;Liechtenstein
204;2022.48759;South Africa;Belize
205;2022.67115;South Africa;Finland
206;2022.4903299999999;South Africa;Russia
