;EventTime;Origin;Destination
159;2022.09161;Japan;Thailand
160;2022.12834;Thailand;Myanmar
161;2021.90723;Japan;India
162;2021.9233100000001;India;Guinea
163;2022.03792;Guinea;Maldives
164;2022.1217100000001;Guinea;Mongolia
165;2022.45127;Guinea;Niue
166;2022.05919;Guinea;Vanuatu
167;2022.15298;Guinea;South Korea
168;2022.19133;Guinea;New Zealand
169;2022.11188;Guinea;Cook Islands
170;2022.01873;Guinea;United Arab Emirates
171;2022.27627;United Arab Emirates;New Zealand
172;2022.05709;United Arab Emirates;Kuwait
173;2022.09544;Kuwait;Trinidad and Tobago
174;2022.10914;Kuwait;Maldives
175;2022.15572;Maldives;Thailand
176;2022.32284;Thailand;Lithuania
177;2021.83344;Cameroon;Eswatini
178;2022.17492;Eswatini;Guinea
179;2022.44067;Eswatini;Mauritius
180;2021.89965;Eswatini;Malawi
181;2022.0900000000001;Malawi;Kenya
182;2022.14478;Malawi;Mozambique
183;2022.0215;Eswatini;Mozambique
184;2022.07355;Eswatini;Portugal
185;2022.21055;Eswatini;Portugal
186;2022.22424;Eswatini;Mozambique
187;2022.17633;Eswatini;Saudi Arabia
188;2022.45164;Saudi Arabia;Ireland
189;2022.3749400000002;Saudi Arabia;Hungary
190;2021.93544;Eswatini;Mozambique
191;2022.21875;Mozambique;South Africa
192;2022.05711;Mozambique;Portugal
193;2022.0294900000001;Eswatini;Nepal
194;2022.44342;Nepal;Romania
195;2021.9783400000001;Eswatini;Slovenia
196;2022.36641;Eswatini;Zambia
197;2022.04342;Eswatini;Belgium
198;2022.26205;Belgium;Chile
199;2022.6297200000001;Eswatini;Burkina Faso
200;2022.48999;Eswatini;Guinea
201;2022.35301;Eswatini;Liechtenstein
202;2022.11206;Eswatini;Niger
203;2022.3804;Niger;Libya
204;2022.15202;Niger;South Africa
205;2022.32287;South Africa;Lithuania
206;2021.81764;Cameroon;Indonesia
207;2022.13108;Indonesia;Nepal
208;2022.30917;Indonesia;Bahrain
209;2022.12835;Indonesia;Mauritius
210;2021.97686;Indonesia;Mozambique
211;2022.353;Mozambique;Mauritius
212;2021.88189;Indonesia;India
213;2021.99875;India;Italy
214;2022.13108;Italy;Switzerland
215;2021.98372;India;Myanmar
216;2022.1228700000001;India;Tunisia
217;2022.1515;India;USA
218;2022.3447800000001;USA;Antigua and Barbuda
219;2022.41328;USA;Ghana
220;2022.1711;India;Slovakia
221;2022.56396;Slovakia;Israel
222;2022.29;India;Australia
223;2022.5256200000001;India;Cyprus
224;2022.38316;India;Jordan
225;2022.14479;India;Russia
226;2022.05126;India;Hungary
227;2022.10812;Hungary;Iran
228;2022.38042;Iran;Democratic Republic of the Congo
229;2022.4078100000002;Iran;Panama
230;2022.31192;Iran;Maldives
231;2022.12348;Hungary;Brazil
232;2022.32015;Brazil;Mexico
233;2022.30728;Brazil;Republic of the Congo
234;2022.34754;Brazil;Iraq
235;2022.25163;Indonesia;Nigeria
236;2022.42697;Indonesia;South Korea
237;2022.04342;Indonesia;Slovakia
238;2022.28999;Indonesia;Israel
239;2022.20781;Indonesia;Oman
240;2022.4215000000002;Indonesia;Israel
241;2022.0036400000001;Indonesia;Switzerland
242;2022.07913;Switzerland;Bahrain
243;2022.33931;Switzerland;Ireland
244;2022.1835700000001;Switzerland;Romania
245;2022.4160200000001;Romania;Slovakia
246;2022.31465;Romania;Jamaica
247;2022.35849;Jamaica;Bahrain
248;2022.04122;Indonesia;Malaysia
249;2022.33108;Malaysia;Suriname
250;2022.55574;Malaysia;Barbados
251;2022.6078;Malaysia;Brunei
252;2022.1934;Malaysia;Bangladesh
253;2022.42697;Bangladesh;Mexico
254;2022.5776600000002;Bangladesh;Bahrain
255;2022.37618;Bangladesh;Singapore
256;2022.4845;Bangladesh;Tunisia
257;2022.6215;Malaysia;Brunei
258;2022.44616;Malaysia;Bahrain
259;2022.42773;Malaysia;Chile
260;2022.50095;Chile;Croatia
261;2022.52286;Malaysia;Estonia
262;2022.67629;Malaysia;Australia
263;2021.81043;Cameroon;Japan
264;2022.30095;Japan;Lithuania
265;2022.3639600000001;Japan;Peru
266;2021.99684;Japan;Nigeria
267;2022.1228700000001;Japan;Philippines
268;2022.12013;Japan;Italy
269;2022.21328;Japan;Argentina
270;2021.99136;Japan;Hong Kong
271;2022.01876;Japan;Taiwan
272;2022.08725;Japan;Slovenia
273;2022.24341;Japan;Libya
274;2022.13383;Japan;Taiwan
275;2022.0078;Japan;Jordan
276;2022.153;Japan;Croatia
277;2022.04067;Japan;Argentina
278;2022.5256;Argentina;Vietnam
279;2022.0753200000001;Japan;Palau
280;2022.16122;Japan;Estonia
281;2021.99136;Japan;Hong Kong
282;2021.98919;Japan;Papua New Guinea
283;2022.50095;Papua New Guinea;Indonesia
284;2022.00505;Japan;Philippines
285;2021.98862;Japan;Canada
286;2022.33382;Japan;Bahrain
287;2022.10642;Japan;Israel
288;2022.20936;Japan;Vietnam
289;2021.98604;Japan;Guatemala
