;EventTime;Origin;Destination
178;2022.97634;Brunei;Pakistan
179;2023.10916;Pakistan;South Korea
180;2023.24341;Pakistan;Thailand
181;2023.21053;Pakistan;Austria
182;2023.30916;Pakistan;Guadeloupe
183;2022.95965;Brunei;Algeria
184;2023.24888;Algeria;France
185;2022.95124;Brunei;Mauritius
186;2023.24614;Mauritius;Bahrain
187;2023.16942;Mauritius;Sweden
188;2023.3201;Sweden;Malaysia
189;2023.11189;Brunei;Crimea
190;2023.13928;Brunei;Barbados
191;2023.47079;Brunei;Greece
192;2023.39134;Brunei;Kuwait
193;2023.2295;Brunei;Greece
194;2023.34202;Greece;Croatia
195;2023.26805;Brunei;Thailand
196;2023.36394;Brunei;Philippines
197;2023.20852;Brunei;China
198;2023.48449;China;Malaysia
199;2023.45709;China;Bulgaria
200;2023.38585;China;Singapore
201;2023.27119;China;Indonesia
202;2023.44339;Indonesia;Taiwan
203;2022.90903;Brunei;Indonesia
204;2023.29271;Indonesia;Russia
205;2023.03064;Indonesia;Malaysia
206;2023.15573;Malaysia;Thailand
207;2023.10094;Indonesia;Oman
208;2023.18039;Indonesia;Egypt
209;2023.24888;Indonesia;Germany
210;2022.97887;Indonesia;Russia
211;2023.07628;Russia;Oman
212;2023.15574;Russia;Oman
213;2023.32287;Russia;Sweden
214;2023.24341;Russia;Ireland
215;2023.24889;Russia;Poland
216;2023.17491;Russia;Brunei
217;2023.32833;Russia;Indonesia
218;2023.03792;Russia;Malaysia
219;2023.0434;Russia;Singapore
220;2023.19682;Russia;Kuwait
221;2023.13442;Russia;Sweden
222;2023.34476;Sweden;Malaysia
223;2023.15572;Sweden;Poland
224;2022.59928;India;Canada
225;2023.11736;Canada;Peru
226;2023.04612;Canada;Kosovo
227;2023.2379;Canada;United Kingdom
228;2023.07352;Canada;Denmark
229;2023.07626;Canada;Iceland
230;2023.15297;Canada;France
231;2022.85711;Canada;Iceland
232;2022.74403;Canada;United Kingdom
233;2023.19955;United Kingdom;Nigeria
234;2023.1338;United Kingdom;New Zealand
235;2023.05982;United Kingdom;Romania
236;2022.71581;Canada;Lithuania
237;2023.10639;Lithuania;Sweden
238;2023.12284;Lithuania;Brazil
239;2022.77774;Canada;Kazakhstan
240;2023.079;Kazakhstan;Australia
241;2023.39681;Kazakhstan;Israel
242;2023.04064;Kazakhstan;Israel
243;2023.18311;Kazakhstan;Ghana
244;2022.68126;Canada;Lithuania
245;2023.27078;Lithuania;Trinidad and Tobago
246;2023.12832;Lithuania;Sweden
247;2023.18311;Lithuania;Kazakhstan
248;2023.32831;Lithuania;India
249;2023.22695;Lithuania;Sweden
250;2023.00806;Lithuania;Israel
251;2023.28723;Israel;Poland
252;2023.3475;Lithuania;India
253;2023.31462;Lithuania;Netherlands
254;2023.25434;Lithuania;Austria
255;2022.90551;Lithuania;Belgium
256;2023.15572;Belgium;Kenya
257;2023.43516;Belgium;Portugal
258;2023.11736;Belgium;Curacao
259;2023.17215;Belgium;Italy
260;2022.97637;Belgium;Chile
261;2023.11759;Chile;New Zealand
262;2023.35023;New Zealand;Denmark
263;2022.99066;Chile;Dominican Republic
264;2023.05337;Dominican Republic;Chile
265;2023.14705;Chile;Uruguay
266;2023.19955;Dominican Republic;Russia
267;2023.21276;Dominican Republic;Slovenia
268;2023.42695;Slovenia;Croatia
269;2023.19473;Dominican Republic;Bulgaria
270;2023.41052;Bulgaria;Poland
271;2023.30914;Dominican Republic;United Kingdom
272;2023.07899;Canada;Japan
273;2022.99637;Canada;Cambodia
274;2023.04337;Cambodia;Finland
275;2023.25433;Cambodia;Iran
276;2023.08173;Cambodia;Belize
277;2023.44063;Cambodia;Spain
278;2023.31462;Canada;Ecuador
279;2023.28174;Canada;Italy
280;2023.06888;Canada;Germany
281;2023.14475;Germany;Switzerland
282;2023.29543;Switzerland;Hong Kong
283;2023.2105;Canada;Sint Maarten
284;2023.21325;Canada;Albania
285;2023.15845;Canada;Portugal
286;2022.89873;Canada;Austria
287;2023.32285;Austria;Finland
288;2023.37764;Austria;Iceland
289;2023.08866;Austria;Norway
290;2023.3064;Norway;Croatia
291;2023.44065;Norway;Malaysia
292;2023.13033;Canada;Brazil
293;2023.45983;Brazil;Denmark
