;EventTime;Origin;Destination
168;2020.97776;Romania;Belgium
169;2020.9985000000001;Romania;Mongolia
170;2021.19602;Romania;Oman
171;2021.12479;Romania;Luxembourg
172;2020.89598;Romania;Zambia
173;2021.28643;Zambia;Morocco
174;2021.30279;Zambia;United Kingdom
175;2021.0508200000002;Zambia;Brazil
176;2021.1220500000002;Zambia;Thailand
177;2021.1305300000001;Zambia;Senegal
178;2021.25629;Senegal;Portugal
179;2021.15766;Zambia;Fiji
180;2021.41793;Zambia;Latvia
181;2021.05198;Zambia;Moldova
182;2021.36862;Moldova;Pakistan
183;2021.0836900000002;Moldova;Bangladesh
184;2020.8554100000001;Romania;Argentina
185;2021.31657;Argentina;Mexico
186;2020.78879;Romania;Bulgaria
187;2021.07547;Bulgaria;France
188;2021.3110800000002;Bulgaria;Russia
189;2021.10835;Bulgaria;Mexico
190;2021.04807;Bulgaria;Singapore
191;2021.1823200000001;Bulgaria;Sweden
192;2020.88689;Bulgaria;Democratic Republic of the Congo
193;2021.31382;Bulgaria;Greece
194;2021.0836900000002;Bulgaria;Denmark
195;2020.94866;Bulgaria;China
196;2021.0374100000001;Bulgaria;Kenya
197;2021.43163;Kenya;Italy
198;2020.9791;Bulgaria;Kosovo
199;2021.4288900000001;Kosovo;North Macedonia
200;2020.97498;Bulgaria;Gambia
201;2020.85987;Bulgaria;Greece
202;2020.93076;Greece;North Macedonia
203;2021.0508200000002;Bulgaria;Cyprus
204;2021.11383;Bulgaria;South Africa
205;2021.4398600000002;South Africa;Bahrain
206;2021.26725;South Africa;South Korea
207;2021.2069800000002;South Africa;Bahrain
208;2021.18035;South Africa;Qatar
209;2021.25294;Qatar;Bahrain
210;2021.0124600000001;Bulgaria;Bangladesh
211;2021.33849;Bulgaria;Kenya
212;2021.43164;Bulgaria;Luxembourg
213;2021.1494400000001;Bulgaria;Indonesia
214;2021.15218;Bulgaria;France
215;2020.99699;Bulgaria;Belgium
216;2021.41792;Belgium;Iceland
217;2021.23163;Bulgaria;Iraq
218;2021.0067000000001;Bulgaria;Netherlands
219;2021.06725;Netherlands;Belgium
220;2021.41245;Netherlands;Poland
221;2021.26725;Netherlands;Belgium
222;2021.43985;Netherlands;Belgium
223;2021.01288;Bulgaria;Moldova
224;2021.0836900000002;Bulgaria;Croatia
225;2021.0645200000001;Bulgaria;Kuwait
226;2021.3822300000002;Bulgaria;Indonesia
227;2021.04259;Bulgaria;France
228;2021.45903;Bulgaria;Spain
229;2021.2727300000001;Bulgaria;Austria
230;2020.98984;Bulgaria;Hungary
231;2021.17957;Hungary;Malawi
232;2021.3110800000002;Hungary;Australia
233;2021.3384700000001;Hungary;Spain
234;2021.11767;Hungary;Turkey
235;2021.28916;Turkey;Australia
236;2021.40148;Hungary;Pakistan
237;2021.07546;Hungary;Austria
238;2021.3439500000002;Austria;Moldova
239;2021.12753;Romania;United Kingdom
240;2021.1412300000002;Romania;France
241;2021.19876;Romania;United Kingdom
242;2021.0179400000002;Romania;Iceland
243;2021.28643;Romania;India
244;2020.9407800000001;Romania;India
245;2021.42342;India;Canada
246;2020.94244;Romania;Bahrain
247;2021.03216;Romania;Spain
248;2021.074;Spain;Brazil
249;2021.41795;Brazil;Republic of the Congo
250;2021.03986;Romania;Philippines
251;2021.2015000000001;Romania;Ireland
252;2021.1028800000001;Romania;Turkey
253;2020.85322;Romania;India
254;2021.26999;India;Germany
255;2020.91723;India;Rwanda
256;2021.05571;Rwanda;Guatemala
257;2021.3101800000002;Guatemala;The Bahamas
258;2021.1494500000001;India;Jordan
259;2021.1412300000002;India;Sweden
260;2021.4480800000001;Sweden;Denmark
261;2021.3110900000001;Sweden;Panama
262;2021.06403;India;Luxembourg
263;2021.1878000000002;Luxembourg;Angola
264;2020.8903400000002;Romania;Morocco
265;2021.0563;Morocco;Ireland
266;2021.06178;Morocco;Mauritius
267;2021.2453400000002;Morocco;Moldova
268;2021.10417;Morocco;Greece
269;2021.26177;Greece;Russia
270;2020.96046;Morocco;France
271;2021.07274;France;New Zealand
272;2021.03986;France;Burkina Faso
273;2021.21794;France;Switzerland
274;2021.13301;France;Ghana
275;2021.1549300000001;France;Brazil
276;2021.15994;France;Latvia
277;2021.12753;France;Algeria
278;2021.2031200000001;France;Algeria
279;2021.2261700000001;Algeria;Benin
280;2020.88321;Romania;Kuwait
281;2021.00972;Kuwait;Singapore
282;2021.0289;Kuwait;Peru
283;2021.10013;Peru;Ireland
284;2021.03716;Kuwait;Ireland
285;2021.29466;Kuwait;Brazil
286;2021.10562;Kuwait;Jordan
287;2021.0700000000002;Kuwait;Philippines
288;2021.23712;Kuwait;Singapore
289;2021.01986;Kuwait;Japan
290;2021.03712;Japan;Angola
291;2021.35493;Japan;Austria
292;2021.39329;Kuwait;Ethiopia
293;2021.1508000000001;Kuwait;Djibouti
294;2021.4289;Djibouti;Turkey
295;2020.81031;Romania;Bahrain
296;2021.39876;Bahrain;Burundi
297;2020.94632;Bahrain;Philippines
298;2021.09191;Philippines;Bangladesh
299;2021.15218;Bahrain;Bulgaria
300;2020.96749;Bahrain;Iraq
301;2021.2727300000001;Iraq;Ghana
302;2021.07273;Iraq;Finland
303;2021.35218;Finland;Latvia
304;2021.2261600000002;Bahrain;Australia
305;2021.04259;Bahrain;Portugal
306;2021.09956;Bahrain;Tunisia
307;2021.31383;Tunisia;Italy
308;2021.3439600000002;Tunisia;North Macedonia
309;2021.07547;Bahrain;Thailand
310;2021.44533;Bahrain;North Macedonia
311;2021.3576600000001;Bahrain;Bangladesh
312;2021.10286;Bahrain;Brazil
313;2021.3521700000001;Bahrain;Portugal
314;2021.11929;Bahrain;Portugal
315;2021.0261400000002;Bahrain;United Kingdom
316;2020.92139;Bahrain;Spain
317;2021.00971;Spain;Iceland
318;2021.1165600000002;Spain;Bangladesh
319;2020.9639300000001;Spain;Mexico
320;2021.22889;Mexico;USA
321;2021.1686200000001;Mexico;Sudan
322;2021.11109;Mexico;Singapore
323;2021.08095;Mexico;United Arab Emirates
324;2021.0387500000002;Mexico;Kyrgyzstan
325;2021.47;Mexico;South Korea
326;2021.12479;Mexico;Philippines
327;2021.13849;Mexico;Serbia
328;2021.2069900000001;Mexico;Guatemala
329;2021.2124700000002;Mexico;Chile
330;2021.33849;Mexico;Chile
331;2021.2645200000002;Mexico;Paraguay
332;2021.30014;Mexico;United Kingdom
333;2021.10749;Mexico;Kyrgyzstan
334;2021.12247;Kyrgyzstan;South Korea
335;2021.3494600000001;South Korea;Serbia
336;2021.2645200000002;South Korea;Greece
337;2021.1494500000001;South Korea;Iceland
338;2021.12478;Spain;Belgium
339;2021.10013;Spain;Tunisia
340;2021.16588;Spain;Portugal
341;2021.06177;Spain;Germany
342;2021.3110900000001;Spain;Indonesia
343;2021.0593000000001;Spain;Kenya
344;2021.25081;Kenya;South Sudan
345;2021.2158200000001;Kenya;Djibouti
346;2021.30286;Kenya;Germany
347;2021.42067;Kenya;Bahrain
348;2021.3077700000001;Kenya;Seychelles
349;2021.22615;Kenya;Uganda
350;2021.38231;Kenya;Rwanda
351;2021.34943;Kenya;Uganda
352;2021.2788400000002;Kenya;Uganda
353;2020.73565;Romania;Bulgaria
354;2021.10013;Bulgaria;Croatia
355;2021.07547;Bulgaria;Belize
356;2021.13849;Bulgaria;New Zealand
357;2021.0316400000002;Bulgaria;Poland
358;2021.03712;Bulgaria;Gambia
359;2021.0179400000002;Bulgaria;Australia
360;2021.14671;Bulgaria;Poland
361;2020.94403;Bulgaria;Brazil
362;2021.14397;Brazil;Ethiopia
363;2021.02068;Bulgaria;South Africa
364;2021.08643;Bulgaria;Switzerland
365;2021.09746;Bulgaria;Brazil
366;2020.85456;Bulgaria;Ireland
367;2021.35218;Ireland;Spain
368;2021.27491;Ireland;Indonesia
369;2020.88276;Bulgaria;Finland
370;2021.03774;Finland;Estonia
371;2021.3439600000002;Estonia;Kosovo
372;2020.81852;Bulgaria;New Zealand
373;2021.00972;New Zealand;Bermuda
374;2021.0124600000001;New Zealand;Bangladesh
375;2020.8675;New Zealand;Iran
376;2021.35219;New Zealand;Russia
377;2021.0891800000002;New Zealand;Cabo Verde
378;2020.9549200000001;New Zealand;Norway
379;2021.1549300000001;Norway;Lithuania
380;2021.09925;Norway;Iran
381;2021.37685;Norway;Jamaica
382;2021.4343800000001;Norway;USA
383;2021.2063;Norway;The Bahamas
384;2021.34671;The Bahamas;Barbados
385;2021.11109;Norway;Turkey
386;2021.07273;Bulgaria;Turkey
387;2020.9316800000001;Bulgaria;Finland
388;2020.84661;Bulgaria;Oman
389;2021.2535500000001;Oman;Bulgaria
390;2021.22615;Oman;Panama
391;2021.07547;Oman;Poland
392;2021.04807;Oman;Norway
393;2021.1604;Oman;Canary Islands
394;2021.10835;Oman;Estonia
395;2021.26177;Oman;Morocco
396;2021.21794;Oman;Switzerland
397;2021.19054;Oman;Romania
398;2021.1878000000002;Oman;Belgium
399;2021.1028700000002;Oman;Germany
400;2021.05161;Oman;Norway
401;2021.09465;Oman;Cameroon
402;2021.02067;Oman;Bangladesh
403;2021.1193;Oman;North Macedonia
404;2021.04259;Oman;Thailand
405;2021.0973900000001;Oman;United Arab Emirates
406;2021.12479;Oman;Canada
407;2020.9706600000002;Oman;Ireland
408;2021.0900000000001;Ireland;Estonia
409;2021.39877;Estonia;Finland
410;2021.3960200000001;Oman;Lithuania
411;2020.9475;Oman;Ireland
412;2021.17409;Ireland;South Korea
413;2021.0973900000001;Oman;United Arab Emirates
414;2021.0645100000002;Oman;Slovenia
415;2021.31655;Oman;France
416;2021.1576400000001;Oman;Argentina
417;2021.10285;Oman;Ireland
418;2021.39599;Oman;Ireland
419;2021.43161;Oman;Norway
420;2021.11412;Oman;Malta
421;2021.38229;Malta;Barbados
422;2021.1384600000001;Oman;Canada
423;2021.0345100000002;Oman;Norway
424;2021.0781900000002;Norway;Togo
425;2021.18778;Norway;Bangladesh
426;2021.0289;Bulgaria;Latvia
427;2020.9774400000001;Bulgaria;Cabo Verde
428;2021.09232;Bulgaria;Greece
429;2021.0453400000001;Bulgaria;Ireland
430;2021.17958;Bulgaria;Sweden
431;2021.3056000000001;Bulgaria;Honduras
432;2021.42067;Bulgaria;USA
433;2021.43163;Bulgaria;Romania
434;2020.8680900000002;Bulgaria;Romania
435;2021.45081;Romania;Guatemala
436;2021.00971;Romania;Qatar
437;2021.12204;Romania;Kenya
438;2021.1110800000001;Romania;Austria
